{'r_arm': 168},{'l_arm': 155},{'r_leg': 166},{'l_leg': 73},{'r_shoulder': 77},{'l_shoulder': 136},{'r_hip': 168},{'l_hip': 107},hold
{'r_arm': 168},{'l_arm': 155},{'r_leg': 166},{'l_leg': 73},{'r_shoulder': 77},{'l_shoulder': 136},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 168},{'l_arm': 155},{'r_leg': 166},{'l_leg': 73},{'r_shoulder': 77},{'l_shoulder': 136},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 168},{'l_arm': 156},{'r_leg': 165},{'l_leg': 73},{'r_shoulder': 77},{'l_shoulder': 136},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 168},{'l_arm': 156},{'r_leg': 165},{'l_leg': 73},{'r_shoulder': 77},{'l_shoulder': 136},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 167},{'l_arm': 156},{'r_leg': 165},{'l_leg': 73},{'r_shoulder': 77},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 167},{'l_arm': 156},{'r_leg': 165},{'l_leg': 73},{'r_shoulder': 77},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 167},{'l_arm': 156},{'r_leg': 165},{'l_leg': 73},{'r_shoulder': 77},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 167},{'l_arm': 156},{'r_leg': 165},{'l_leg': 73},{'r_shoulder': 77},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 167},{'l_arm': 156},{'r_leg': 165},{'l_leg': 73},{'r_shoulder': 77},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 166},{'l_arm': 157},{'r_leg': 165},{'l_leg': 73},{'r_shoulder': 77},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 166},{'l_arm': 157},{'r_leg': 165},{'l_leg': 73},{'r_shoulder': 76},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 166},{'l_arm': 157},{'r_leg': 165},{'l_leg': 73},{'r_shoulder': 76},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 166},{'l_arm': 157},{'r_leg': 165},{'l_leg': 73},{'r_shoulder': 76},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 165},{'l_arm': 157},{'r_leg': 165},{'l_leg': 73},{'r_shoulder': 76},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 165},{'l_arm': 157},{'r_leg': 165},{'l_leg': 73},{'r_shoulder': 76},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 165},{'l_arm': 157},{'r_leg': 165},{'l_leg': 73},{'r_shoulder': 76},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 165},{'l_arm': 157},{'r_leg': 164},{'l_leg': 73},{'r_shoulder': 76},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 165},{'l_arm': 157},{'r_leg': 164},{'l_leg': 73},{'r_shoulder': 76},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 165},{'l_arm': 157},{'r_leg': 164},{'l_leg': 73},{'r_shoulder': 76},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 164},{'l_arm': 157},{'r_leg': 164},{'l_leg': 73},{'r_shoulder': 75},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 164},{'l_arm': 157},{'r_leg': 164},{'l_leg': 73},{'r_shoulder': 75},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 164},{'l_arm': 157},{'r_leg': 164},{'l_leg': 73},{'r_shoulder': 75},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 164},{'l_arm': 157},{'r_leg': 164},{'l_leg': 73},{'r_shoulder': 75},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 164},{'l_arm': 158},{'r_leg': 164},{'l_leg': 73},{'r_shoulder': 75},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 164},{'l_arm': 158},{'r_leg': 164},{'l_leg': 73},{'r_shoulder': 75},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 164},{'l_arm': 158},{'r_leg': 164},{'l_leg': 73},{'r_shoulder': 75},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 164},{'l_arm': 158},{'r_leg': 164},{'l_leg': 73},{'r_shoulder': 75},{'l_shoulder': 137},{'r_hip': 169},{'l_hip': 107},hold
{'r_arm': 164},{'l_arm': 158},{'r_leg': 164},{'l_leg': 73},{'r_shoulder': 75},{'l_shoulder': 138},{'r_hip': 169},{'l_hip': 107},hold
